,Kaupunginosa ,Huoneisto,Talot. ,m2 ,Vh € ,€/m2 ,Rv ,Krs ,Hissi ,Kunto ,Tontti ,Energial. ,postcode
2,"Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.",00130
3,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,00130
4,Kaartinkaupunki,2h+k+kph+wc,kt,5950,430000,7227,1927,4/4,ei,tyyd.,oma,E2013,00130
5,Kaartinkaupunki,"2h, avokeitti...",kt,5100,570000,11176,1962,3/7,on,hyvä,oma,D2013,00130
6,Kaartinkaupunki,"2h, avok, kph",kt,5500,485000,8818,1927,2/6,on,hyvä,oma,F2014,00130
7,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,00130
8,"Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.",00130
9,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,00130
10,Ullanlinna,"3-4h, k, kph, e...",kt,11900,795000,6681,1890,1/4,ei,tyyd.,oma,G2013,00130
11,Kaartinkaupunki / ullanlinna,4h+avok+halli+2...,kt,14100,1390000,9858,1928,2/5,on,hyvä,oma,D2018,00130
12,Kaartinkaupunki,4h+k+palvh (4h+...,kt,11540,886000,7678,1927,3/7,on,tyyd.,oma,E2013,00130
